
																																																		
		v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27	v28	v29	v30	v31	v32	v33	v34	v35	v36	v37	v38	v39	v40	v41	v42	v43	v44	v45	v46	v47	v48	v49	v50	v51	v52	v53	v54	v55	v56	v57	v58	v59	v60	v61	v62	v63	v64	v65	v66	v67	v68	v69	v70	v71	v72	v73	v74	v75	v76	v77	v78	v79	v80	v81	v82	v83	v84	v85	v86	v87	v88	v89	v90	v91	v92	v93	v94	v95	v96	v97	v98	v99	v100
N		100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Нормальные параметрыa,b	Среднее	482,0300	525,2900	508,8600	538,1600	488,5000	526,4700	466,3700	489,5700	485,6300	437,1000	514,8200	447,8100	520,5800	489,2000	564,5400	516,7900	516,6700	515,1800	456,3300	477,3800	516,6400	507,2800	454,1900	503,8500	510,3800	534,5800	549,2600	518,4500	410,2400	538,1800	490,2500	541,2000	516,1500	515,3900	501,5200	461,5100	548,3400	523,7500	524,6300	467,8700	511,5200	512,2900	509,8800	427,7600	459,9500	494,5800	532,6300	548,3500	511,6100	519,4100	481,2000	521,6400	505,5000	488,7200	479,1600	510,1600	485,2300	433,1100	498,3000	520,1300	495,9000	530,0700	519,5200	475,9300	481,9300	514,8100	484,5500	497,0500	508,7100	488,0500	480,5900	490,6200	524,1100	436,7400	503,8900	495,3500	499,4900	464,6500	511,6500	491,7000	547,5200	525,0700	517,5900	499,8100	511,8100	497,0600	544,2600	493,2400	491,5700	494,6500	457,7600	485,0800	521,9500	522,8100	495,8800	490,8000	518,4600	496,4600	499,7800	498,9900
	Стд. отклонение	281,83355	301,50449	288,40358	267,55382	297,81604	297,42961	300,16271	315,28737	275,98674	282,58666	314,28824	278,89456	303,17269	288,82814	287,40755	293,86186	295,30734	275,36427	287,79261	304,38664	268,41185	271,71959	303,27461	295,16571	285,63467	282,25342	297,91693	288,04620	300,16588	262,44670	293,87974	266,69477	305,93395	288,25052	280,22907	323,54990	270,93874	284,21803	296,77807	293,99398	289,28559	283,16745	302,11628	276,03839	272,77391	285,28562	280,71085	284,33411	288,68412	274,18493	275,75780	285,72642	309,67645	303,17462	320,50074	279,83053	287,13590	263,76634	284,52163	292,13632	273,92812	288,94232	295,24629	275,22800	294,67285	296,76786	286,43882	300,74249	301,42558	296,95969	295,44707	292,33258	297,21175	255,96893	284,65552	287,73534	294,89222	305,73371	281,01890	286,25885	283,21261	268,49563	299,47291	276,25562	309,00834	301,90783	309,08953	301,83985	259,53316	290,84757	287,89094	294,80730	278,72735	296,84808	266,00031	286,25428	277,23401	292,28060	290,75845	291,45838
Разности экстремумов	Модуль	,075	,085	,075	,091	,129	,104	,108	,103	,089	,103	,118	,121	,115	,089	,084	,091	,103	,093	,093	,135	,081	,076	,100	,090	,095	,086	,130	,083	,115	,085	,088	,101	,097	,085	,082	,119	,099	,082	,088	,076	,093	,063	,077	,098	,066	,072	,069	,092	,096	,069	,101	,082	,109	,092	,096	,060	,102	,098	,088	,102	,080	,088	,098	,079	,113	,096	,078	,113	,083	,112	,099	,072	,074	,065	,093	,107	,087	,115	,074	,094	,084	,082	,117	,088	,099	,098	,097	,109	,074	,100	,109	,071	,082	,080	,081	,076	,068	,108	,092	,083
	Положительные	,075	,082	,071	,091	,116	,089	,108	,092	,089	,103	,105	,121	,066	,089	,082	,076	,103	,078	,093	,112	,041	,052	,100	,090	,094	,078	,087	,065	,115	,085	,088	,062	,084	,079	,060	,119	,064	,077	,088	,075	,093	,063	,077	,081	,066	,054	,065	,067	,096	,055	,101	,082	,102	,079	,096	,054	,102	,098	,088	,102	,080	,085	,070	,068	,113	,096	,078	,113	,082	,112	,099	,060	,063	,065	,093	,105	,083	,104	,071	,094	,076	,060	,103	,088	,098	,098	,097	,108	,074	,079	,109	,071	,082	,077	,069	,068	,068	,108	,058	,079
	Отрицательные	-,075	-,085	-,075	-,077	-,129	-,104	-,080	-,103	-,062	-,084	-,118	-,077	-,115	-,086	-,084	-,091	-,090	-,093	-,064	-,135	-,081	-,076	-,078	-,090	-,095	-,086	-,130	-,083	-,087	-,061	-,075	-,101	-,097	-,085	-,082	-,096	-,099	-,082	-,076	-,076	-,066	-,059	-,065	-,098	-,053	-,072	-,069	-,092	-,075	-,069	-,080	-,080	-,109	-,092	-,086	-,060	-,097	-,058	-,072	-,077	-,069	-,088	-,098	-,079	-,069	-,088	-,056	-,083	-,083	-,110	-,084	-,072	-,074	-,049	-,061	-,107	-,087	-,115	-,074	-,077	-,084	-,082	-,117	-,064	-,099	-,080	-,090	-,109	-,070	-,100	-,078	-,060	-,081	-,080	-,081	-,076	-,065	-,086	-,092	-,083
Статистика Z Колмогорова-Смирнова		,749	,853	,751	,905	1,289	1,038	1,078	1,031	,893	1,028	1,176	1,206	1,150	,892	,836	,911	1,034	,929	,928	1,346	,813	,759	1,004	,900	,953	,855	1,299	,832	1,148	,854	,881	1,015	,971	,849	,815	1,190	,990	,816	,878	,758	,929	,631	,774	,976	,658	,722	,693	,922	,957	,685	1,009	,818	1,087	,925	,960	,596	1,015	,977	,881	1,015	,795	,884	,984	,790	1,128	,955	,782	1,130	,833	1,125	,995	,718	,736	,648	,934	1,071	,867	1,154	,736	,941	,837	,817	1,173	,883	,986	,978	,970	1,088	,739	1,001	1,085	,711	,823	,798	,812	,757	,681	1,084	,916	,825
Асимпт. знч. (двухсторонняя)		,629	,461	,625	,386	,072	,231	,195	,238	,402	,241	,126	,109	,142	,405	,488	,378	,235	,354	,355	,054	,523	,612	,266	,393	,324	,457	,069	,493	,143	,460	,419	,254	,303	,468	,519	,118	,281	,518	,424	,614	,354	,821	,587	,297	,780	,674	,723	,363	,319	,736	,260	,516	,188	,359	,315	,869	,254	,296	,420	,254	,552	,416	,287	,560	,157	,321	,574	,155	,491	,159	,276	,681	,651	,795	,348	,202	,440	,139	,651	,338	,485	,516	,127	,417	,285	,295	,304	,188	,646	,269	,189	,693	,507	,548	,525	,615	,743	,190	,372	,504


